Layer,Name,GEOID,Population,Longitude,Latitude,EKW_2024,INC_2019-2023,CZM_2023,EDB_2019-2023
Census tract,Tract 2432,17031243200,2287,-87.66962380,41.89243270,17.08,124647.99999999999,133.0,95.69160997732426
Census tract,Tract 2433,17031243300,2431,-87.66473880,41.89247810,12.42,122917.0,193.0,91.82519280205656
Census tract,Tract 2434,17031243400,2880,-87.65985400,41.89256600,16.78,113965.99999999999,164.0,96.81050656660412
Census tract,Tract 2435,17031243500,4746,-87.65252270,41.89264940,17.01,169198.0,292.0,99.03846153846156
Census tract,Tract 2502,17031250200,2779,-87.75107300,41.91235080,13.83,45018.99999999999,234.0,79.44191343963554
Census tract,Tract 2503,17031250300,4742,-87.76085280,41.91284830,13.48,64536.99999999999,130.0,63.87058118633912
Census tract,Tract 2504,17031250400,5789,-87.77540580,41.91290500,13.83,47280.99999999999,228.0,81.33535660091047
Census tract,Tract 2505,17031250500,7315,-87.79679600,41.91461800,15.0,120386.0,184.0,90.89898053753475
Census tract,Tract 2506,17031250600,4203,-87.77063030,41.90569350,13.21,81458.0,186.0,87.1917808219178
Census tract,Tract 2507,17031250700,5932,-87.76081280,41.90582060,10.73,50923.99999999999,320.0,76.33856138453218
Census tract,Tract 2508,17031250800,2432,-87.75147410,41.90618550,15.5,65884.0,151.0,78.54227405247813
Census tract,Tract 2510,17031251000,1075,-87.74489240,41.89869450,15.5,35568.0,93.0,72.9113924050633
Census tract,Tract 2511,17031251100,4468,-87.75201120,41.89862480,10.21,40583.99999999999,202.0,73.9629005059022
Census tract,Tract 2512,17031251200,3910,-87.76060400,41.89854910,12.17,64309.0,170.0,73.50318471337579
Census tract,Tract 2513,17031251300,5098,-87.77038490,41.89842510,12.87,42182.0,189.0,84.08071748878923
Census tract,Tract 2514,17031251400,3986,-87.77012480,41.89095740,12.29,21049.0,202.0,85.93183466279913
Census tract,Tract 2515,17031251500,4342,-87.76035380,41.89110350,11.67,47491.0,357.0,77.93807178043632
Census tract,Tract 2516,17031251600,3522,-87.75180370,41.89140650,12.22,34332.0,137.0,84.52860596293313
Census tract,Tract 2517,17031251700,1347,-87.74447930,41.89138440,15.17,57037.0,114.0,84.04494382022472
Census tract,Tract 2518,17031251800,5101,-87.74788850,41.88414360,14.13,36681.0,473.0,86.39377342173537
Census tract,Tract 2519,17031251900,5387,-87.76009450,41.88381160,13.62,35047.0,346.0,86.79133273968537
Census tract,Tract 2520,17031252000,5646,-87.76987980,41.88367590,13.04,30103.0,279.0,80.0266311584554
Census tract,Tract 2521.01,17031252101,1502,-87.76985520,41.87388120,14.83,50138.99999999999,107.0,90.22498060512024
Census tract,Tract 2521.02,17031252102,6187,-87.75982760,41.87659900,13.21,51991.99999999999,305.0,87.83002263012321
Census tract,Tract 2522.01,17031252201,2940,-87.75210510,41.87669580,13.28,45457.99999999999,214.0,85.06944444444444
Census tract,Tract 2522.02,17031252202,4783,-87.74458320,41.87675840,12.7,45839.0,350.0,88.97531281704431
Census tract,Tract 2601,17031260100,1477,-87.72333020,41.88437070,15.17,21874.999999999996,117.0,76.1071060762101
Census tract,Tract 2602,17031260200,1054,-87.72823020,41.88432430,16.83,51125.0,131.0,66.24277456647398
Census tract,Tract 2603,17031260300,1528,-87.73313620,41.88427660,15.5,,115.0,70.84745762711864
Census tract,Tract 2604,17031260400,1398,-87.73804110,41.88421450,15.17,13489.0,101.0,71.96702002355713
Census tract,Tract 2605,17031260500,1833,-87.73772820,41.87666390,13.46,40990.99999999999,120.0,91.26559714795007
Census tract,Tract 2606,17031260600,2114,-87.73286700,41.87710760,11.58,42874.99999999999,190.0,67.67932489451476
Census tract,Tract 2607,17031260700,1691,-87.72799620,41.87705650,13.75,46167.0,210.0,66.56050955414013
Census tract,Tract 2608,17031260800,2271,-87.72309640,41.87708480,14.0,36681.0,201.0,82.98068077276909
Census tract,Tract 2609,17031260900,1778,-87.72281410,41.87102970,13.08,20841.0,99.0,85.40880503144655
Census tract,Tract 2610,17031261000,2289,-87.73200940,41.87133790,14.5,48482.0,162.0,82.87858117326057
Census tract,Tract 2705,17031270500,1619,-87.71779320,41.87624020,15.17,24374.999999999996,207.0,65.78947368421053
Census tract,Tract 2712,17031271200,1172,-87.70356210,41.87735970,16.33,31048.0,156.0,82.43847874720358
Census tract,Tract 2713,17031271300,1060,-87.70845280,41.87730400,13.33,45045.99999999999,142.0,83.74792703150912
Census tract,Tract 2714,17031271400,1535,-87.71333140,41.87724290,15.67,43354.99999999999,117.0,90.72398190045249
Census tract,Tract 2715,17031271500,1373,-87.71315590,41.87178610,14.5,50925.99999999999,75.0,77.3469387755102
Census tract,Tract 2718,17031271800,976,-87.69848970,41.87149640,16.17,51549.99999999999,65.0,87.73584905660378
Census tract,Tract 2801,17031280100,7421,-87.64349770,41.88545200,17.03,148319.0,436.0,99.55984665625444
Census tract,Tract 2804,17031280400,1231,-87.67188460,41.88600940,17.5,36681.0,141.0,82.29813664596274
Census tract,Tract 2808,17031280800,1198,-87.68890090,41.87859670,14.0,31500.0,115.0,83.05847076461768
